id,business_unit,created_at,updated_at
1,BUSINESS_UNIT,2016-10-04 18:35:33.639793,2016-10-04 18:35:33.639793
2,656,2016-10-04 18:35:33.725819,2016-10-04 18:35:33.725819
3,664,2016-10-04 18:35:33.748826,2016-10-04 18:35:33.748826
4,665,2016-10-04 18:35:33.769832,2016-10-04 18:35:33.769832
5,Agribusiness,2016-10-04 18:35:33.790839,2016-10-04 18:35:33.790839
6,Agribusiness - Feed,2016-10-04 18:35:33.817847,2016-10-04 18:35:33.817847
7,Bioenergy,2016-10-04 18:35:33.844855,2016-10-04 18:35:33.844855
8,Corn Milling,2016-10-04 18:35:33.871863,2016-10-04 18:35:33.871863
9,Corporate Support,2016-10-04 18:35:33.895870,2016-10-04 18:35:33.895870
10,Edible Oils,2016-10-04 18:35:33.918877,2016-10-04 18:35:33.918877
11,Energy and Biodiesel,2016-10-04 18:35:33.945885,2016-10-04 18:35:33.945885
12,Feed Milling,2016-10-04 18:35:33.969892,2016-10-04 18:35:33.969892
13,Financial Services Group,2016-10-04 18:35:33.992899,2016-10-04 18:35:33.992899
14,General Management,2016-10-04 18:35:34.017907,2016-10-04 18:35:34.017907
15,Grain Origination,2016-10-04 18:35:34.042914,2016-10-04 18:35:34.042914
16,Ingredients and Other,2016-10-04 18:35:34.065921,2016-10-04 18:35:34.065921
17,Margarine and Mayo,2016-10-04 18:35:34.087928,2016-10-04 18:35:34.087928
18,NO_BUSINESS_UNIT,2016-10-04 18:35:34.108934,2016-10-04 18:35:34.108934
19,Not Indicated,2016-10-04 18:35:34.130941,2016-10-04 18:35:34.130941
20,Ocean Freight,2016-10-04 18:35:34.154948,2016-10-04 18:35:34.154948
21,Oilseed Processing,2016-10-04 18:35:34.179955,2016-10-04 18:35:34.179955
22,Other Administrative,2016-10-04 18:35:34.200962,2016-10-04 18:35:34.200962
23,Ports and Services,2016-10-04 18:35:34.228970,2016-10-04 18:35:34.228970
24,Retail,2016-10-04 18:35:34.253977,2016-10-04 18:35:34.253977
25,Sugar Industrial,2016-10-04 18:35:34.279985,2016-10-04 18:35:34.279985
26,Sugar Trading,2016-10-04 18:35:34.301992,2016-10-04 18:35:34.301992
27,Support,2016-10-04 18:35:34.323998,2016-10-04 18:35:34.323998
28,Trading and Distribution,2016-10-04 18:35:34.353007,2016-10-04 18:35:34.353007
29,Wheat Milling,2016-10-04 18:35:34.379015,2016-10-04 18:35:34.379015
