id,name,created_at,updated_at
1,Commercial,2017-02-20 17:48:44.156319,2017-02-20 17:48:44.156319
2,Finance,2017-02-20 17:48:44.492353,2017-02-20 17:48:44.492353
3,Industrial,2017-02-20 17:48:44.854389,2017-02-20 17:48:44.854389
4,Human Resources,2017-02-20 17:48:45.169421,2017-02-20 17:48:45.169421
5,Information Technology,2017-02-20 17:48:45.513455,2017-02-20 17:48:45.513455
6,Supply Chain/Logistics,2017-02-20 17:48:45.892493,2017-02-20 17:48:45.892493
7,General Management,2017-02-20 17:48:46.229527,2017-02-20 17:48:46.229527
8,INTERNAL AUDIT,2017-02-20 17:48:46.555559,2017-02-20 17:48:46.555559
9,Business Development,2017-02-20 17:48:46.897593,2017-02-20 17:48:46.897593
10,Legal/Compliance,2017-02-20 17:48:47.221626,2017-02-20 17:48:47.221626
11,General Services,2017-02-20 17:48:47.56466,2017-02-20 17:48:47.56466
12,Procurement,2017-02-20 17:48:47.911695,2017-02-20 17:48:47.911695
13,R&D,2017-02-20 17:48:48.271731,2017-02-20 17:48:48.271731
14,Corporate Services,2017-02-20 17:48:48.599764,2017-02-20 17:48:48.599764
15,Government Affairs,2017-02-20 17:48:48.923796,2017-02-20 17:48:48.923796
16,Communication,2017-02-20 17:48:49.249829,2017-02-20 17:48:49.249829
17,Treasury,2017-02-20 17:48:49.586862,2017-02-20 17:48:49.586862
18,Agribusiness Services,2017-02-20 17:48:49.917895,2017-02-20 17:48:49.917895
19,NO_FUNCTION,2017-02-20 17:48:50.25993,2017-02-20 17:48:50.25993
20,Executive Office (CEOs),2017-02-20 17:48:50.588962,2017-02-20 17:48:50.588962
21,Trading,2017-02-20 17:48:50.932997,2017-02-20 17:48:50.932997
22,Financial Planning & Analysis,2017-02-20 17:48:51.26003,2017-02-20 17:48:51.26003
23,Administration,2017-02-20 17:48:51.606064,2017-02-20 17:48:51.606064
24,Management,2017-02-20 17:48:51.935097,2017-02-20 17:48:51.935097
25,Oilseed Processing,2017-02-20 17:48:52.26513,2017-02-20 17:48:52.26513
