id,type_name,matter_type_id,category_id,sub_category_id,created_at,updated_at
1,12/11/2016 21:51,1,3,,2017-02-20 22:39:12.571413,2017-02-20 22:39:12.571413
2,12/11/2016 21:51,1,3,14,2017-02-20 22:39:12.898413,2017-02-20 22:39:12.898413
3,12/11/2016 21:51,1,3,,2017-02-20 22:39:13.224413,2017-02-20 22:39:13.224413
4,12/11/2016 21:51,1,3,,2017-02-20 22:39:13.552413,2017-02-20 22:39:13.552413
5,12/11/2016 21:51,1,3,14,2017-02-20 22:39:13.882413,2017-02-20 22:39:13.882413
6,12/11/2016 21:51,1,3,,2017-02-20 22:39:14.207413,2017-02-20 22:39:14.207413
7,12/11/2016 21:51,1,4,,2017-02-20 22:39:14.523413,2017-02-20 22:39:14.523413
8,12/11/2016 21:51,1,4,,2017-02-20 22:39:14.875413,2017-02-20 22:39:14.875413
9,12/11/2016 21:51,1,4,,2017-02-20 22:39:15.193413,2017-02-20 22:39:15.193413
10,12/11/2016 21:51,1,4,,2017-02-20 22:39:15.526413,2017-02-20 22:39:15.526413
11,12/11/2016 21:51,2,1,,2017-02-20 22:39:15.844413,2017-02-20 22:39:15.844413
12,12/11/2016 21:51,2,1,,2017-02-20 22:39:16.174413,2017-02-20 22:39:16.174413
13,12/11/2016 21:51,2,8,,2017-02-20 22:39:16.514413,2017-02-20 22:39:16.514413
14,12/11/2016 21:51,2,7,,2017-02-20 22:39:16.841413,2017-02-20 22:39:16.841413
15,12/11/2016 21:51,1,5,,2017-02-20 22:39:17.162413,2017-02-20 22:39:17.162413
16,12/11/2016 21:51,1,6,,2017-02-20 22:39:17.486413,2017-02-20 22:39:17.486413
17,12/11/2016 21:51,2,2,,2017-02-20 22:39:17.815413,2017-02-20 22:39:17.815413
18,12/11/2016 21:51,2,2,,2017-02-20 22:39:18.140413,2017-02-20 22:39:18.140413
19,12/11/2016 21:51,2,2,,2017-02-20 22:39:18.462413,2017-02-20 22:39:18.462413
20,12/11/2016 21:51,2,2,4,2017-02-20 22:39:18.792413,2017-02-20 22:39:18.792413
21,12/11/2016 21:51,2,2,,2017-02-20 22:39:19.121413,2017-02-20 22:39:19.121413
22,12/11/2016 21:51,2,2,4,2017-02-20 22:39:19.445413,2017-02-20 22:39:19.445413
23,12/11/2016 21:51,2,2,,2017-02-20 22:39:19.773413,2017-02-20 22:39:19.773413
24,12/11/2016 21:51,2,2,,2017-02-20 22:39:20.094413,2017-02-20 22:39:20.094413
26,12/11/2016 21:51,1,3,,2017-02-20 22:39:20.429413,2017-02-20 22:39:20.429413
